date,hour,min,sec,tsu,vol,loc_name,lat,long,dep,mag,death_num,death_de,injury_num,injury_de,damage_mil,damage_de,house_destroyed_num,house_destroyed_de,house_damaged_num,house_damaged_de
2003-07-10,17,6,37.6,,,IRAN: SOUTHERN: GAJJIABAD,28.355,54.169,10,5.8,1,1,25,1,,3,3500,4,3500,4
2003-07-15,20,27,50.5,,,INDIAN OCEAN: FELT IN MALDIVES,-2.598,68.382,10,7.6,,,,,,,,,,
2003-07-21,15,16,31.9,,,CHINA: YUNNAN PROVINCE,25.975,101.29,10,5.9,16,1,584,3,75,4,264878,4,264878,4
2003-07-25,15,13,7.7,,,"JAPAN: HONSHU: MIYAGI, IWATE",38.432,141.003,10,5.5,,,569,3,411,4,,,1025,4
2003-07-26,1,0,57.6,,,TURKEY: WESTERN: BULDAN,38.111,28.887,10,4.5,,,,2,,1,,,,
2003-07-26,8,36,49.1,,,TURKEY: WESTERN: BULDAN,38.019,28.927,10,5.4,,,10,1,,1,1,1,1,1
2003-07-26,23,18,17.9,,,BANGLADESH: RANGAMATI,22.854,92.306,10,5.7,2,1,25,1,,2,500,3,,
2003-08-04,4,37,20.1,,,SCOTIA SEA: SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,10,7.6,,,,,,1,,,,
2003-08-11,0,19,9.2,,,INDONESIA: HALMAHERA: WASILE,1.142,128.152,10,6,,,,,,2,,,200,3
2003-08-13,8,29,27.2,,,"PANAMA: COLON, PANAMA CITY",9.355,-79.941,54,5.4,,,,,,1,,,,
2003-08-14,5,14,54.7,,,"GREECE: LEFKADA, PREVEZA",39.16,20.605,10,6.3,,,50,1,,2,,,,2
2003-08-16,10,58,42.7,,,"CHINA: NEI MONGOL: LINDONG, TIANSHAN",43.77,119.643,24,5.4,4,1,1000,3,,3,7900,3,,
2003-08-18,9,3,3.5,,,"CHINA: TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",29.573,95.605,33,5.5,,,,,,1,,,,
2003-08-21,12,12,49.7,1,,"NEW ZEALAND: DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,28,7.2,,,,,,1,,,,
2003-09-14,21,42,51.8,,,"ITALY: LOIANO, MONGHIDORO, MONZUNO",44.329,11.45,10,5.3,,,,2,,1,,,10,1
2003-09-20,3,54,50.7,,,JAPAN: HONSHU: TOKYO,34.998,140.172,52,5.7,,,7,1,,1,,,,2
2003-09-21,18,16,13.4,,,MYANMAR (BURMA): TAUNGDWINGYI; THAILAND: BANGKOK,19.917,95.672,10,6.6,,,,,,1,,,,2
2003-09-22,4,45,36.2,,,"DOMINICAN REPUBLIC: PUERTO PLATA, SANTIAGO",19.777,-70.673,10,6.4,3,1,15,1,,3,,3,,
2003-09-25,19,50,6.3,1,,JAPAN: HOKKAIDO,41.815,143.91,27,8.3,,,755,3,90,4,,,,
2003-09-27,11,33,25,,,"RUSSIA: KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,3,1,5,1,10.6,3,300,3,,
2003-09-29,15,27,1,,,RUSSIA: KOSH-AGACH,50,87.89,10,4.4,,,,,,1,,,,
2003-09-29,18,22,32,,,NEW ZEALAND: CHRISTCHURCH,-43.34,173.04,32,4.8,,,,,,1,,,,
2003-10-01,1,3,25.2,,,"RUSSIA: KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,10,6.7,,,,,,1,,,,1
2003-10-15,7,30,35.9,,,JAPAN: NEAR S COAST HONSHU: ATSUGI,35.457,139.871,78,5.2,,,,,,1,,,,
2003-10-16,3,20,55.3,,,"DOMINICAN REPUBLIC: MOCA, SANTIAGO",19.761,-70.693,10,4.5,,,,,,1,,,,1
2003-10-16,12,28,9,,,CHINA: YUNNAN PROVINCE: DAYAO,25.954,101.254,33,5.6,3,1,32,1,,3,12000,4,12000,4
2003-10-25,12,41,35.2,,,"CHINA: GANSU PROVINCE: MINLE, SHANDAN",38.4,100.951,10,5.8,9,1,43,1,40,4,10000,4,,
2003-10-31,1,6,28.2,1,,JAPAN: EAST COAST HONSHU,37.812,142.619,10,7,,,,,,,,,,
2003-11-13,2,35,10.3,,,"CHINA: GANSU PROVINCE: JONE, LINTAN, MINXIAN",34.712,103.834,10,5.1,1,1,30,1,,1,10,1,,
2003-11-14,18,49,46.5,,,"CHINA: YUNNAN PROVINCE: LUDIAN, ZHAOTONG",27.372,103.971,33,5.6,4,1,65,1,,2,600,3,600,3
2003-11-17,6,43,6.8,1,,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.146,178.65,33,7.8,,,,,,,,,,
2003-11-18,17,14,22.6,,,PHILIPPINES: SAMAR: CAN-AVID,12.025,125.416,35,6.5,1,1,21,1,,2,1,1,,3
2003-11-26,13,38,57.8,,,CHINA: YUNNAN PROVINCE: LUDIAN,27.283,103.753,33,4.7,,,4,1,,4,2000,4,2000,4
2003-12-01,1,38,31.9,,,CHINA: XINJIANG: ZHAOSU,42.905,80.515,10,6,11,1,47,1,,3,769,3,,
2003-12-05,23,41,27.4,,,"INDONESIA: FLORES, RUTENG",-8.137,120.524,33,4.9,,,,,,1,,,,1
2003-12-10,4,38,11.5,,,"TAIWAN: T'AI-TUNG, KAO-HSIUN",23.039,121.362,10,6.8,,,1,1,,1,,,,
